Points:0,Points:1,Points:2,U:0,U:1,U:2,wss,p
27.57891,-220.9285,-180.9589,0.07588592,0.2069692,0.1376025,0.0,380.515495268865
29.8625,-214.7242,-177.6332,0.1165494,0.27555430000000003,-0.03367755,0.0,364.80518774435996
29.8908,-214.6473,-177.6571,0.11598610000000001,0.27846540000000003,-0.04535269,0.0,362.99973627752996
29.90616,-214.6056,-177.5015,0.11005039999999999,0.2658659,-0.06047576,0.0,370.09368599681494
28.03952,-219.677,-179.9961,0.09199623000000001,0.2058835,0.1464373,0.0,378.97815507804995
30.62057,-212.6646,-179.2486,0.12050620000000001,0.3836531,0.028359420000000003,0.0,281.359386102685
28.14742,-219.3839,-172.0539,-0.004815919,-0.001049755,-0.002455091,0.0,377.50240981986497
32.30864,-208.0783,-178.0073,0.1853203,0.6964338999999999,0.2782377,0.0,26.819500246022
32.3338,-208.01,-177.9735,0.1870122,0.7052031,0.28651309999999997,0.0,21.662871144788497
32.3157,-208.0591,-177.8853,0.2048085,0.7267735000000001,0.28329170000000004,0.0,21.4084654078955
32.2856,-208.1409,-177.9604,0.2008624,0.7173152,0.2778472,0.0,28.887663433084498
26.8309,-222.9607,-181.1769,0.06631535999999999,0.2000251,0.1476943,0.0,387.55958242364
27.82494,-220.26,-179.3223,0.09593517,0.20835920000000002,0.1395716,0.0,378.12982486955497
27.822,-220.268,-179.4506,0.09759311999999999,0.2160984,0.14629530000000002,0.0,378.34434055484
27.82606,-220.257,-179.4818,0.0980248,0.2177231,0.1477754,0.0,378.409001901865
27.81258,-220.2936,-179.4483,0.09713437000000001,0.2148395,0.1450806,0.0,378.384470586705
27.81629,-220.2835,-179.4673,0.09750748,0.2163605,0.14644000000000001,0.0,378.38980348130497
27.81709,-220.2814,-179.4485,0.09732704,0.21534379999999997,0.14555189999999998,0.0,378.35473969930996
27.81206,-220.295,-179.4724,0.09738948,0.2162596,0.1463016,0.0,378.45939775583497
27.81912,-220.2758,-179.4625,0.09757189999999999,0.21635459999999998,0.1464741,0.0,378.390603415495
32.06046,-208.7526,-178.2557,0.190881,0.7299607,0.23637419999999998,0.0,44.46102222426149
32.0303,-208.8345,-178.1332,0.21519850000000001,0.7304806,0.24163430000000002,0.0,40.550103972642
